,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Cef Ticker,Current price,52 Wk Avg price,52 Wk High price,52 Wk Low price,Current Nav,52 Wk Avg Nav,52 Wk High Nav,52 Wk Low Nav,Current P/D,52 Wk Avg P/D,52 Wk High P/D,52 Wk Low P/D
411,DDF,$11.64,$10.82,$12.19,$9.18,$11.18,$10.74,$11.19,$9.74,4.11%,0.74%,10.70%,-6.06%
412,NMS,$15.16,$15.51,$16.70,$14.54,$15.45,$15.57,$15.87,$15.28,-1.88%,-0.42%,6.18%,-6.09%
413,IHTA,$9.84,$9.70,$10.10,$8.68,$9.71,$9.72,$9.89,$9.08,1.13%,-0.18%,3.53%,-4.38%
414,MFD,$9.81,$9.59,$10.34,$8.55,$10.70,$10.37,$10.90,$9.44,-8.32%,-7.60%,-2.89%,-13.33%
415,DYFN,$20.60,$19.84,$21.13,$18.09,$20.93,$21.01,$21.48,$20.33,-1.58%,-5.58%,-1.15%,-11.84%
416,JHAA,$9.92,$9.96,$10.66,$9.73,$9.97,$10.07,$10.14,$9.94,-0.50%,-1.01%,6.28%,-3.38%
417,NBW,$13.94,$14.06,$15.07,$13.13,$15.37,$15.63,$15.92,$15.35,-9.28%,-10.03%,-5.98%,-14.62%
418,EDI,$7.89,$8.80,$9.68,$7.34,$7.51,$8.18,$8.65,$7.41,5.06%,7.53%,16.33%,-1.68%
419,EEA,$10.50,$11.20,$12.00,$9.61,$11.87,$12.83,$13.67,$11.74,-11.54%,-12.76%,-9.91%,-15.71%
420,HTY,$6.62,$6.43,$7.04,$5.53,$6.60,$6.61,$6.98,$6.26,0.30%,-2.68%,6.60%,-13.65%
421,SRV,$32.55,$28.51,$35.94,$21.90,$38.35,$36.23,$42.35,$29.40,-15.12%,-21.48%,-13.75%,-26.84%
422,JMM,$7.41,$7.37,$7.71,$6.42,$7.62,$7.78,$7.88,$7.62,-2.78%,-5.32%,-1.30%,-9.83%
423,VCF,$14.29,$14.50,$15.50,$13.81,$15.39,$15.50,$15.82,$15.14,-7.15%,-6.45%,-3.04%,-9.22%
424,FEO,$13.25,$14.65,$15.88,$12.81,$13.79,$15.43,$17.16,$13.71,-3.92%,-4.99%,2.36%,-13.57%
425,NBO,$12.84,$12.85,$13.60,$12.07,$14.04,$14.24,$14.62,$13.91,-8.52%,-9.77%,-6.00%,-14.00%
426,VFL,$14.10,$13.82,$14.50,$12.71,$15.04,$15.21,$15.66,$14.71,-6.25%,-9.16%,-6.17%,-12.76%
427,FCO,$7.22,$8.41,$9.74,$6.70,$6.04,$6.59,$7.06,$6.03,18.87%,27.70%,49.22%,10.94%
428,EGF,$12.63,$12.78,$13.47,$12.38,$12.56,$12.98,$13.31,$12.56,0.56%,-1.57%,0.61%,-3.26%
429,FGB,$4.15,$4.02,$4.39,$3.22,$4.47,$4.23,$4.61,$3.56,-7.16%,-5.12%,0.46%,-10.30%
430,FMY,$13.36,$13.63,$14.25,$13.13,$13.74,$14.11,$14.42,$13.74,-2.77%,-3.36%,-0.85%,-7.23%
431,IRL,$11.30,$12.18,$13.55,$10.05,$12.65,$14.64,$16.03,$12.14,-10.67%,-16.73%,-7.78%,-23.53%
432,PYN,$9.40,$9.98,$11.00,$8.79,$9.12,$9.21,$9.43,$8.94,3.07%,8.42%,18.06%,-3.07%
433,NXN,$13.33,$14.01,$14.97,$12.96,$14.36,$14.47,$14.66,$14.29,-7.17%,-3.19%,1.09%,-7.17%
434,OCCI,$13.40,$14.01,$17.63,$11.85,$14.00,$13.68,$14.15,$11.06,-0.37%,2.60%,23.06%,-10.71%
435,CIF,$2.61,$2.87,$3.40,$2.47,$2.33,$2.43,$2.50,$2.32,12.02%,18.57%,37.14%,-0.40%
436,MFV,$6.62,$6.52,$7.18,$5.60,$5.43,$5.51,$5.65,$5.33,21.92%,18.38%,26.87%,4.03%
437,PCF,$8.69,$9.16,$10.09,$8.13,$8.81,$9.19,$9.72,$8.66,-1.36%,-0.40%,7.49%,-12.58%
438,NDP,$24.20,$19.76,$24.76,$14.22,$27.98,$23.30,$27.98,$18.39,-13.51%,-15.51%,-9.07%,-23.72%
439,GRF,$10.30,$8.86,$10.37,$7.60,$10.64,$10.74,$11.57,$9.51,-3.20%,-17.53%,-3.20%,-31.84%
440,MXE,$8.96,$10.51,$12.88,$7.85,$11.10,$12.64,$14.65,$9.75,-19.28%,-17.00%,-10.07%,-33.86%
441,NOM,$15.08,$15.03,$16.46,$13.89,$13.92,$14.07,$14.30,$13.83,8.35%,6.80%,16.58%,-0.92%
442,CUBA,$5.60,$5.91,$7.02,$5.06,$6.57,$6.89,$7.64,$6.10,-14.70%,-14.28%,-7.45%,-19.73%
443,BHV,$19.41,$17.53,$19.86,$15.58,$15.41,$15.64,$16.24,$15.32,25.96%,12.14%,25.96%,0.42%
444,RCG,$2.53,$2.53,$3.28,$1.69,$2.72,$2.69,$3.32,$2.09,-6.99%,-6.13%,5.93%,-18.80%
445,ECAT,$18.54,,$20.06,$17.91,$20.19,,$20.90,$19.93,-8.17%,,,
446,GUG,$19.54,,$20.28,$19.27,$20.04,,$20.29,$19.57,-2.50%,,,
447,MEGI,$19.70,,$20.50,$17.36,$20.39,,$20.57,$19.25,-3.41%,,,
448,MIO,$18.15,,$20.43,$17.80,$19.52,,$20.00,$19.35,-7.02%,,,
449,NBXG,$16.12,,$20.76,$15.85,$18.01,,$21.81,$18.01,-10.49%,,,
450,NMAI,$18.56,,$19.22,$17.35,$19.77,,$21.72,$19.32,-6.12%,,,
451,NNY,$9.57,$9.93,$10.35,$9.45,$10.16,$10.24,$10.37,$10.10,-5.81%,-2.98%,0.00%,-6.31%
452,SDHY,$18.27,$18.96,$20.60,$16.78,$19.45,$19.87,$20.17,$19.43,-6.07%,-4.50%,0.85%,-9.95%
