,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Cef Ticker,Current price,52 Wk Avg price,52 Wk High price,52 Wk Low price,Current Nav,52 Wk Avg Nav,52 Wk High Nav,52 Wk Low Nav,Current P/D,52 Wk Avg P/D,52 Wk High P/D,52 Wk Low P/D
268,VTN,$13.30,$13.45,$14.17,$12.70,$14.36,$14.53,$14.86,$14.21,-7.38%,-7.45%,-4.30%,-10.78%
269,LGI,$19.96,$20.10,$22.32,$17.53,$20.52,$21.05,$22.35,$19.28,-2.73%,-4.55%,0.18%,-10.06%
270,NXP,$15.62,$17.28,$18.89,$15.52,$16.29,$16.46,$16.71,$16.24,-4.11%,5.02%,12.84%,-4.46%
271,EVF,$6.87,$6.77,$7.25,$6.36,$6.93,$6.91,$7.00,$6.82,-0.87%,-2.07%,3.30%,-5.67%
272,EMF,$16.01,$18.54,$20.96,$15.30,$17.86,$20.51,$22.93,$17.16,-10.36%,-9.66%,-7.21%,-12.19%
273,FUND,$8.70,$8.29,$9.51,$7.25,$9.12,$9.16,$9.93,$8.52,-4.61%,-9.51%,-3.11%,-15.47%
274,AFT,$16.43,$15.50,$16.61,$14.32,$16.49,$16.55,$16.76,$16.34,-0.60%,-6.40%,0.56%,-11.95%
275,GDO,$16.97,$17.96,$18.72,$16.86,$17.52,$18.43,$19.01,$17.52,-3.14%,-2.52%,1.66%,-7.80%
276,DHY,$2.48,$2.45,$2.57,$2.23,$2.53,$2.56,$2.60,$2.51,-3.16%,-4.14%,-0.39%,-10.98%
277,EOD,$5.79,$5.60,$6.08,$4.86,$6.06,$5.95,$6.21,$5.52,-4.46%,-5.90%,-1.35%,-13.18%
278,FINS,$16.48,$17.58,$18.53,$15.86,$17.64,$18.64,$19.16,$17.64,-6.58%,-5.69%,-2.75%,-10.45%
279,PZC,$10.98,$10.95,$11.77,$10.00,$10.13,$10.24,$10.43,$10.03,8.39%,6.92%,12.68%,0.00%
280,NRO,$5.17,$4.83,$5.30,$3.96,$5.37,$5.00,$5.48,$4.32,-3.72%,-3.59%,0.39%,-8.47%
281,TTP,$24.75,$22.48,$26.67,$17.35,$30.54,$28.00,$32.69,$22.08,-18.98%,-19.73%,-14.49%,-23.42%
282,BWG,$11.60,$12.36,$13.09,$11.51,$12.65,$13.64,$14.62,$12.65,-8.30%,-9.39%,-4.52%,-14.63%
283,FIF,$13.95,$12.83,$14.26,$10.62,$15.69,$14.61,$15.82,$12.47,-11.09%,-12.18%,-8.47%,-16.88%
284,OPP,$14.58,$15.16,$16.36,$13.81,$14.11,$15.02,$15.55,$14.11,3.33%,0.94%,7.34%,-6.56%
285,GF,$14.89,$19.98,$21.48,$14.72,$16.29,$22.53,$24.18,$16.29,-8.59%,-11.29%,-5.89%,-14.07%
286,MXF,$15.77,$14.81,$16.23,$12.89,$18.30,$17.16,$18.61,$14.08,-13.83%,-13.64%,0.00%,-18.03%
287,MHD,$16.46,$16.60,$17.50,$15.61,$17.01,$17.31,$17.73,$16.91,-3.23%,-4.15%,-0.47%,-7.97%
